error_message,error_type
error: multiple storage class specifiers,syntactic
error: misplaced 'friend' declaration,syntactic
fatal error: unexpected '::' in declaration,syntactic
error: missing type specifier,syntactic
error: invalid label in goto statement,syntactic
error: invalid syntax near enum declaration,syntactic
error: missing closing brace in class,syntactic
error: nested function declaration not allowed,syntactic
fatal error: misplaced default label,syntactic
error: expected 'template' keyword before identifier,syntactic
error: declaration does not declare anything,syntactic
error: expected expression after '=',syntactic
fatal error: duplicate case label in switch,syntactic
error: misplaced typedef in function body,syntactic
error: invalid operator declaration syntax,syntactic
error: declaration conflicts with previous typedef,syntactic
error: stray comma at end of enum list,syntactic
fatal error: misplaced template definition,syntactic
error: expected type-name before '*' token,syntactic
error: unexpected keyword 'private',syntactic
error: variable declared void,syntactic
error: invalid constructor definition,syntactic
fatal error: misplaced destructor declaration,syntactic
error: missing '=' in constant expression,syntactic
error: invalid reference declarator,syntactic
error: 'sizeof' applied to incomplete type,semantic
fatal error: invalid arithmetic operation on pointer,semantic
error: dereferencing nullptr,semantic
error: dividing by zero constant,semantic
error: invalid pointer subtraction,semantic
error: function call on incomplete type,semantic
fatal error: array index out of range,semantic
error: invalid argument passed to function,semantic
error: incompatible types in conditional,semantic
runtime error: access to freed pointer,semantic
error: uninitialized pointer used,semantic
fatal error: mismatched memory allocation,semantic
error: invalid static member access,semantic
error: assigning const value to non-const variable,semantic
runtime error: overflow in multiplication,semantic
error: invalid use of deleted copy constructor,semantic
fatal error: binding reference to temporary,semantic
error: assignment to read-only object,semantic
error: invalid operand type for operator==,semantic
runtime error: invalid cast from base to derived,semantic
error: redeclaration of function with different return type,semantic
error: incompatible pointer types,semantic
fatal error: invalid dynamic_cast from base,semantic
error: invalid conversion from const char* to char*,semantic
runtime error: buffer overflow detected,semantic
error: incompatible function return type,semantic
error: dereferencing invalid iterator,semantic
fatal error: new-expression allocation failure,semantic
error: invalid reference to deleted variable,semantic
error: conversion loses precision,semantic
runtime error: dangling pointer dereference,semantic
error: incompatible array types in assignment,semantic
fatal error: attempt to free non-heap memory,semantic
error: function returning local reference,semantic
error: implicit conversion from double to int,semantic
runtime error: integer overflow,semantic
error: invalid use of void expression,semantic
error: ambiguous overload for operator+,semantic
fatal error: multiple definition of variable,semantic
error: invalid operand type for unary minus,semantic
error: implicit conversion changes signedness,semantic
runtime error: use of invalidated iterator,semantic
error: incompatible array bounds in initialization,semantic
error: invalid template argument type,semantic
fatal error: recursive macro expansion,semantic
error: incompatible pointer assignment,semantic
error: invalid member access through pointer,semantic
runtime error: use-after-free detected,semantic
error: invalid argument to delete operator,semantic
error: invalid address-of operand,semantic
fatal error: calling function on destroyed object,semantic
error: invalid member initialization,semantic
error: arithmetic overflow in constant expression,semantic
runtime error: segmentation fault during execution,semantic
error: invalid conversion from pointer to bool,semantic
fatal error: call to deleted move constructor,semantic
error: use of undefined variable,semantic
error: ambiguous function call,semantic
runtime error: race condition detected,semantic
error: invalid cast from int to pointer type,semantic
error: attempt to divide by literal zero,semantic
fatal error: pointer arithmetic overflow,semantic
error: invalid constructor call syntax,semantic
error: deleting void pointer,semantic
runtime error: heap corruption detected,semantic
error: use of variable before initialization,semantic
error: conflicting declaration types,semantic
fatal error: bad array new length,semantic
error: use of deleted destructor,semantic
error: assigning incompatible value types,semantic
runtime error: null dereference detected,semantic
error: conflicting declaration with previous typedef,semantic
fatal error: unreachable statement detected,semantic
error: invalid reinterpret_cast to unrelated type,semantic
error: too few arguments in function call,semantic
runtime error: floating point overflow,semantic
error: comparison of pointer and integer,semantic
fatal error: type mismatch in template argument,semantic
error: assigning void to non-void variable,semantic
error: array size must be constant,semantic
runtime error: invalid type conversion at runtime,semantic
fatal error: macro expansion failed,lexical
error: missing header guard,lexical
error: stray '^' character in file,lexical
error: illegal character in preprocessing directive,lexical
fatal error: unterminated macro parameter list,lexical
error: expected '>' in template include,lexical
error: malformed token in directive,lexical
fatal error: directive #else without #if,lexical
error: stray ':' in macro definition,lexical
error: invalid preprocessing token,lexical
fatal error: missing #endif before EOF,lexical
error: stray '~' in program,lexical
error: extra '#' at line start,lexical
error: stray '/' before include,lexical
error: invalid header file syntax,lexical
fatal error: include path not specified,lexical
error: unexpected whitespace in macro,lexical
error: stray '!' before identifier,lexical
fatal error: unterminated comment section,lexical
error: invalid UTF sequence detected,lexical
error: stray '+' before keyword,lexical
fatal error: nested include depth exceeded,lexical
error: bad token sequence in macro,lexical
error: stray '|' in include path,lexical
error: file extension not recognized,lexical
fatal error: missing header dependency,lexical
error: invalid preprocessing escape,lexical
"error: stray ',' at file start",lexical
error: bad filename literal,lexical
error: invalid directive '#macro',lexical
error: stray '<' in identifier,lexical
fatal error: unrecognized compiler flag,lexical
error: missing terminating > in include,lexical
error: unescaped newline in macro,lexical
error: stray '$' in macro definition,lexical
error: unrecognized escape in macro name,lexical
error: stray tab before '#include',lexical
error: invalid encoding character,lexical
error: file name contains illegal character,lexical
fatal error: bad source file format,lexical
error: invalid literal before directive,lexical
fatal error: invalid character constant,lexical
error: stray '\\' at end of file,lexical
error: expected declaration specifier,syntactic
fatal error: missing function parameter list,syntactic
error: missing ')' after type name,syntactic
error: missing ':' in initializer list,syntactic
error: multiple 'default' labels in switch,syntactic
error: invalid label in statement,syntactic
fatal error: expected ';' after declaration,syntactic
error: expected '{' after function declaration,syntactic
error: unbalanced parentheses,syntactic
fatal error: stray '}' at global scope,syntactic
error: invalid constructor declaration,syntactic
error: expected 'catch' after try block,syntactic
fatal error: missing body for 'else' clause,syntactic
error: missing parameter in lambda capture,syntactic
error: invalid lambda expression syntax,syntactic
error: unexpected 'return' in class body,syntactic
fatal error: misplaced friend function,syntactic
error: empty function body,syntactic
error: invalid conditional expression,syntactic
fatal error: case label not within switch,syntactic
error: missing comma in argument list,syntactic
error: redeclaration of local variable,syntactic
error: missing statement terminator,syntactic
fatal error: label used but not defined,syntactic
error: unknown storage class specifier,syntactic
error: nested template declaration,syntactic
error: unclosed parentheses in parameter list,syntactic
fatal error: declaration expected,syntactic
error: stray keyword in expression,syntactic
error: invalid block scope placement,syntactic
fatal error: non-terminated class declaration,syntactic
error: misplaced 'typedef' declaration,syntactic
error: unexpected keyword in expression,syntactic
error: type specifier missing,syntactic
fatal error: declaration does not declare anything,syntactic
error: invalid inline specifier usage,syntactic
error: declaration conflicts with global symbol,syntactic
fatal error: unexpected static declaration,syntactic
