error_message,error_type
"ValueError: not enough values to unpack (expected 2, got 3)  [line:223 col:30 id:1002]",semantic
TabError: inconsistent use of tabs and spaces in indentation  [line:286 col:13 id:9205],lexical
SyntaxError: cannot assign to literal  [line:355 col:71 id:2565],syntactic
ModuleNotFoundError: No module named 'matplotlib'  [line:179 col:10 id:8724],lexical
SyntaxError: missing parentheses in call to 'print'  [line:407 col:37 id:7488],syntactic
AttributeError: 'NoneType' object has no attribute 'execute'  [line:415 col:7 id:3580],semantic
SyntaxError: unterminated string literal at line 61  [line:125 col:40 id:6785],lexical
ImportError: cannot import name 'fit' from 'pandas'  [line:92 col:57 id:4508],lexical
SyntaxError: unexpected EOF while parsing  [line:468 col:34 id:3923],syntactic
RuntimeError: failed to acquire lock for thread  [line:69 col:3 id:7420],semantic
SyntaxError: stray character 'z' in expression  [line:344 col:46 id:9645],lexical
AttributeError: module 'numpy' has no attribute 'apply'  [line:195 col:46 id:2818],lexical
OverflowError: numerical result out of range  [line:361 col:79 id:8754],semantic
SyntaxError: invalid syntax near '%'  [line:425 col:4 id:8838],lexical
TypeError: unsupported operand type(s) for +: 'int' and 'str'  [line:367 col:18 id:6715],semantic
ValueError: could not convert string to float: '6466c'  [line:433 col:4 id:3284],semantic
IndentationError: expected an indented block  [line:198 col:27 id:2813],syntactic
TypeError: can't compare 'int' and 'tuple'  [line:142 col:5 id:6894],semantic
SyntaxError: EOL while scanning string literal  [line:273 col:41 id:3653],lexical
SyntaxError: 'break' outside loop  [line:432 col:55 id:6015],syntactic
SyntaxError: missing parentheses in call to 'print'  [line:233 col:67 id:3070],syntactic
SyntaxError: duplicate argument 'temp' in function definition  [line:311 col:79 id:9187],syntactic
SyntaxError: expected ':' after 'if' statement  [line:34 col:57 id:5183],syntactic
SyntaxError: invalid syntax near '**'  [line:153 col:45 id:1587],lexical
SyntaxError: invalid statement at global scope  [line:190 col:17 id:5689],syntactic
TypeError: can't multiply sequence by non-int of type 'dict'  [line:424 col:24 id:8099],semantic
AttributeError: 'dict' object has no attribute 'apply'  [line:2 col:4 id:9747],semantic
IndentationError: unexpected unindent at line 7  [line:107 col:5 id:6198],lexical
SyntaxError: invalid character in f-string  [line:330 col:78 id:8502],syntactic
RecursionError: infinite recursion detected in function 'process'  [line:467 col:35 id:4590],semantic
SyntaxError: invalid target for augmented assignment  [line:320 col:58 id:8202],syntactic
IndexError: list index out of range  [line:59 col:66 id:8252],semantic
ImportError: cannot import name 'write' from 'numpy'  [line:7 col:57 id:7067],lexical
KeyError: 'token'  [line:241 col:5 id:2868],semantic
ImportError: cannot import name 'test' from 'matplotlib'  [line:289 col:37 id:6648],lexical
SyntaxError: cannot assign to literal  [line:126 col:36 id:5503],syntactic
TypeError: 'list' object is not callable  [line:492 col:24 id:3346],lexical
SyntaxError: cannot assign to literal  [line:172 col:13 id:9045],syntactic
TypeError: can't compare 'int' and 'tuple'  [line:497 col:63 id:4416],semantic
FileNotFoundError: [Errno 2] No such file or directory: ''report.xml''  [line:477 col:28 id:4297],semantic
ModuleNotFoundError: No module named 'tensorflow'  [line:469 col:23 id:8362],lexical
AttributeError: 'dict' object has no attribute 'apply'  [line:150 col:46 id:7013],semantic
AttributeError: module 'numpy' has no attribute 'data'  [line:154 col:77 id:1260],lexical
SyntaxError: invalid syntax near '//'  [line:319 col:70 id:7776],lexical
SyntaxError: invalid encoding or BOM in source file  [line:329 col:72 id:4898],lexical
SyntaxError: EOL while scanning string literal  [line:215 col:62 id:7526],lexical
SyntaxError: invalid character in f-string  [line:273 col:13 id:2520],syntactic
SyntaxError: invalid character in f-string  [line:419 col:20 id:4434],syntactic
SyntaxError: invalid encoding or BOM in source file  [line:402 col:1 id:3568],lexical
ImportError: cannot import name 'get' from 'pandas'  [line:498 col:7 id:4978],semantic
ValueError: invalid literal for int() with base 10: '7171b'  [line:458 col:34 id:4197],semantic
ValueError: invalid literal for int() with base 10: '2558b'  [line:420 col:45 id:9327],semantic
SyntaxError: unterminated triple-quoted string literal  [line:351 col:9 id:8176],syntactic
ValueError: could not convert string to float: '1945c'  [line:161 col:27 id:6735],semantic
SyntaxError: cannot mix tabs and spaces  [line:309 col:18 id:6912],syntactic
SyntaxError: invalid target for augmented assignment  [line:1 col:75 id:2278],syntactic
SyntaxError: missing parentheses in call to 'print'  [line:243 col:26 id:3019],syntactic
TabError: inconsistent use of tabs and spaces in indentation  [line:276 col:50 id:9861],lexical
RuntimeError: dictionary changed size during iteration  [line:104 col:35 id:3349],semantic
SyntaxError: unterminated triple-quoted string literal  [line:167 col:78 id:8952],syntactic
SyntaxError: invalid type annotation  [line:284 col:10 id:2009],syntactic
SyntaxError: invalid decimal literal near 'and'  [line:233 col:76 id:4889],lexical
TypeError: 'dict' object is not callable  [line:230 col:5 id:2224],lexical
ImportError: cannot import name 'load' from 'pandas'  [line:399 col:27 id:7461],lexical
SyntaxError: invalid non-printable character U+345  [line:274 col:38 id:5833],syntactic
SyntaxError: stray character 'z' in expression  [line:272 col:78 id:3357],lexical
SyntaxError: invalid statement at global scope  [line:108 col:34 id:2756],syntactic
SyntaxError: invalid statement at global scope  [line:196 col:55 id:3720],syntactic
SyntaxError: expected ':' after 'if' statement  [line:496 col:58 id:1326],syntactic
SyntaxError: invalid type annotation  [line:488 col:9 id:9554],syntactic
SyntaxError: duplicate argument 'config' in function definition  [line:294 col:69 id:7288],syntactic
ImportError: cannot import name 'load' from 'pandas'  [line:300 col:39 id:8891],lexical
ImportError: cannot import name 'analyze' from 'numpy'  [line:263 col:3 id:6883],lexical
SyntaxError: unexpected EOF while parsing  [line:389 col:11 id:2657],syntactic
SyntaxError: duplicate argument 'flag' in function definition  [line:484 col:34 id:2887],syntactic
SyntaxError: invalid character in identifier  [line:55 col:64 id:7371],lexical
SyntaxError: invalid encoding or BOM in source file  [line:373 col:3 id:1099],lexical
RuntimeError: failed to acquire lock for thread  [line:453 col:65 id:6942],semantic
ImportError: cannot import name 'fit' from 'http'  [line:464 col:32 id:2654],lexical
SyntaxError: invalid target for augmented assignment  [line:21 col:21 id:9213],syntactic
SyntaxError: invalid encoding or BOM in source file  [line:410 col:14 id:5839],lexical
SyntaxError: unmatched ')' at line 61  [line:82 col:39 id:6429],syntactic
TabError: inconsistent use of tabs and spaces in indentation  [line:13 col:43 id:3137],lexical
SyntaxError: illegal expression for augmented assignment  [line:413 col:14 id:1174],syntactic
AttributeError: module 'cv2' has no attribute 'transform'  [line:307 col:29 id:3013],lexical
SyntaxError: missing parentheses in call to 'print'  [line:320 col:36 id:3326],syntactic
SyntaxError: 'return' outside function  [line:266 col:43 id:7096],syntactic
SyntaxError: invalid character in f-string  [line:473 col:50 id:5428],syntactic
RecursionError: infinite recursion detected in function 'write'  [line:41 col:33 id:5878],semantic
ImportError: cannot import name 'load' from 'random'  [line:380 col:22 id:1911],lexical
UnicodeError: unicodeescape codec can't decode bytes  [line:139 col:73 id:8351],lexical
SyntaxError: invalid decimal literal near '-'  [line:416 col:29 id:9647],lexical
SyntaxError: invalid statement at global scope  [line:417 col:51 id:2649],syntactic
FileNotFoundError: [Errno 2] No such file or directory: ''missing.txt''  [line:334 col:10 id:5032],semantic
ImportError: cannot find module 'sklearn' in sys.path  [line:83 col:33 id:6235],semantic
SyntaxError: invalid use of keyword 'or'  [line:243 col:80 id:6756],syntactic
TypeError: can't multiply sequence by non-int of type 'dict'  [line:196 col:54 id:2502],semantic
SyntaxError: invalid use of keyword '**'  [line:328 col:3 id:3210],syntactic
SyntaxError: invalid decimal literal near '::'  [line:88 col:51 id:8301],lexical
ImportError: cannot import name 'analyze' from 'datetime'  [line:249 col:27 id:2299],lexical
NameError: name 'error' is not defined  [line:200 col:10 id:8172],lexical
UnicodeError: unicodeescape codec can't decode bytes  [line:383 col:53 id:1022],lexical
UnicodeEncodeError: 'ascii' codec can't encode character  [line:259 col:49 id:2497],lexical
SyntaxError: expected ':' after 'if' statement  [line:14 col:13 id:1919],syntactic
SyntaxError: invalid type annotation  [line:472 col:4 id:2842],syntactic
RuntimeError: generator raised StopIteration  [line:371 col:59 id:1557],semantic
IndentationError: unexpected unindent at line 76  [line:28 col:24 id:8284],lexical
SyntaxError: invalid non-printable character U+400  [line:449 col:29 id:1822],syntactic
SyntaxError: unexpected EOF while parsing  [line:349 col:63 id:3885],syntactic
SyntaxError: 'return' outside function  [line:439 col:38 id:1524],syntactic
ImportError: cannot import 'predict' from 'math'  [line:185 col:3 id:2082],lexical
AttributeError: module 'scipy' has no attribute 'calculate'  [line:380 col:21 id:9409],lexical
RuntimeError: generator raised StopIteration  [line:403 col:66 id:3245],semantic
NameError: name 'error' is not defined  [line:86 col:26 id:9922],lexical
ImportError: cannot import 'train' from 'pandas'  [line:110 col:44 id:5356],lexical
ImportError: cannot import name 'get' from 'pandas'  [line:76 col:54 id:1659],lexical
SyntaxError: invalid use of keyword '**'  [line:239 col:30 id:8109],syntactic
"TypeError: sequence item 2: expected str instance, found int  [line:361 col:42 id:1603]",semantic
"TypeError: sequence item 5: expected str instance, found int  [line:137 col:55 id:6493]",semantic
ValueError: math domain error  [line:215 col:9 id:3797],semantic
RuntimeError: failed to acquire lock for thread  [line:263 col:57 id:2945],semantic
ValueError: math domain error  [line:316 col:6 id:4779],semantic
SyntaxError: invalid decimal literal near '->'  [line:423 col:27 id:3395],lexical
SyntaxError: unexpected token '**'  [line:88 col:51 id:4896],syntactic
RuntimeError: failed to acquire lock for thread  [line:454 col:75 id:2714],semantic
NameError: free variable 'flag' referenced before assignment  [line:33 col:16 id:1243],semantic
ModuleNotFoundError: No module named 're'  [line:387 col:75 id:4155],lexical
SyntaxError: cannot assign to literal  [line:159 col:3 id:5701],syntactic
SyntaxError: invalid non-printable character U+400  [line:365 col:43 id:2008],syntactic
SyntaxError: invalid syntax near ';'  [line:12 col:58 id:9617],syntactic
ImportError: cannot find module 'math' in sys.path  [line:430 col:48 id:6446],semantic
SyntaxError: unterminated triple-quoted string literal  [line:255 col:67 id:7342],syntactic
SyntaxError: stray character 'q' in expression  [line:109 col:64 id:7507],lexical
TypeError: unhashable type: 'DataFrame'  [line:155 col:26 id:6016],semantic
SyntaxError: invalid non-printable character U+345  [line:493 col:66 id:7374],syntactic
ValueError: could not convert string to float: '3071c'  [line:418 col:74 id:7598],semantic
ImportError: cannot import 'fit' from 'tensorflow'  [line:214 col:40 id:4606],lexical
RuntimeError: failed to acquire lock for thread  [line:245 col:41 id:7177],semantic
KeyError: 'file'  [line:378 col:44 id:1782],semantic
SyntaxError: invalid syntax near '=='  [line:377 col:69 id:6303],syntactic
SyntaxError: illegal expression for augmented assignment  [line:13 col:71 id:7715],syntactic
SyntaxError: invalid syntax near '::'  [line:289 col:39 id:8732],syntactic
SyntaxError: 'break' outside loop  [line:496 col:10 id:6973],syntactic
SyntaxError: invalid use of keyword '=='  [line:35 col:61 id:1636],syntactic
SyntaxError: invalid target for augmented assignment  [line:146 col:41 id:2783],syntactic
SyntaxError: invalid use of keyword '%'  [line:173 col:17 id:2494],syntactic
SyntaxError: stray character 'z' in expression  [line:262 col:38 id:9247],lexical
ValueError: invalid literal for int() with base 10: '8064c'  [line:139 col:57 id:5322],semantic
SyntaxError: unexpected EOF while parsing  [line:86 col:80 id:8898],syntactic
AttributeError: 'Series' object has no attribute 'model'  [line:46 col:35 id:6032],semantic
ValueError: invalid literal for int() with base 10: '4998a'  [line:186 col:58 id:5535],semantic
ValueError: math domain error  [line:99 col:78 id:8570],semantic
SyntaxError: unterminated string literal at line 156  [line:320 col:36 id:4846],lexical
TypeError: missing 1 required positional argument: 'path'  [line:393 col:24 id:7302],semantic
SyntaxError: unexpected token '->'  [line:334 col:72 id:9555],syntactic
MemoryError: cannot allocate memory  [line:285 col:73 id:3759],semantic
ModuleNotFoundError: No module named 'pandas'  [line:271 col:42 id:8109],lexical
SyntaxError: invalid non-printable character U+567  [line:342 col:13 id:3363],syntactic
SyntaxError: unterminated triple-quoted string literal  [line:408 col:8 id:7348],syntactic
SyntaxError: missing parentheses in call to 'print'  [line:302 col:26 id:8072],syntactic
TypeError: unsupported operand type(s) for +: 'int' and 'str'  [line:402 col:62 id:9104],semantic
TypeError: 'NoneType' object is not callable  [line:246 col:16 id:5577],lexical
SyntaxError: cannot assign to literal  [line:302 col:46 id:3367],syntactic
SyntaxError: cannot assign to literal  [line:487 col:51 id:5691],syntactic
IndentationError: unexpected indent  [line:450 col:5 id:8104],lexical
SyntaxError: invalid escape sequence '\y'  [line:266 col:17 id:8290],lexical
RecursionError: maximum recursion depth exceeded  [line:305 col:47 id:6282],semantic
SyntaxError: 'return' outside function  [line:62 col:7 id:6110],syntactic
SyntaxError: unknown token before '=='  [line:189 col:50 id:4493],lexical
SyntaxError: cannot mix tabs and spaces  [line:365 col:26 id:7681],syntactic
"TypeError: sequence item 3: expected str instance, found int  [line:105 col:55 id:8995]",semantic
MemoryError: cannot allocate memory  [line:285 col:12 id:6223],semantic
